ID,Title,Bug ID,CVEs,Base Score,Severity,First Fixed,Made Public,Last Updated,Status,Detailed URL,Vulernable
cisco-sa-iox-pt-hWGcPf7g,Cisco IOx Application Environment Path Traversal Vulnerability,CSCvw64810, CVE-2021-1385 ,6.5,Medium, 17.3.3 ,2021-03-24T16:00:00,2021-03-30T22:12:35,Final,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-iox-pt-hWGcPf7g,YES
cisco-sa-iox-pt-hWGcPf7g,Cisco IOx Application Environment Path Traversal Vulnerability,CSCvx21776, CVE-2021-1385 ,6.5,Medium, 17.3.3 ,2021-03-24T16:00:00,2021-03-30T22:12:35,Final,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-iox-pt-hWGcPf7g,YES
cisco-sa-iox-pt-hWGcPf7g,Cisco IOx Application Environment Path Traversal Vulnerability,CSCvx21783, CVE-2021-1385 ,6.5,Medium, 17.3.3 ,2021-03-24T16:00:00,2021-03-30T22:12:35,Final,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-iox-pt-hWGcPf7g,YES
cisco-sa-arp-mtfhBfjE,Cisco IOS and IOS XE Software ARP Resource Management Exhaustion Denial of Service Vulnerability,CSCvv75175, CVE-2021-1377 ,5.8,Medium, 17.3.3 ,2021-03-24T16:00:00,2021-03-24T16:00:00,Final,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-arp-mtfhBfjE,YES
cisco-sa-xesdwcinj-t68PPW7m,Cisco IOS XE SD-WAN Software Command Injection Vulnerability,CSCvw64828, CVE-2021-1382 ,6.0,Medium, 17.3.3 ,2021-03-24T16:00:00,2021-03-24T16:00:00,Final,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-xesdwcinj-t68PPW7m,YES
cisco-sa-sdwan-esc-rSNVvTf9,Cisco IOS XE SD-WAN Software Console Privilege Escalation Vulnerability,CSCvv43400, CVE-2021-1371 ,6.6,Medium, 17.3.1w ,2021-03-24T16:00:00,2021-03-24T16:00:00,Final,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-sdwan-esc-rSNVvTf9,YES
cisco-sa-xesdwpinj-V4weeqzU,Cisco IOS XE SD-WAN Software Parameter Injection Vulnerabilities,CSCvk59304, CVE-2021-1383'  'CVE-2021-1454 ,6.0,Medium, 17.3.3 ,2021-03-24T16:00:00,2021-03-24T16:00:00,Final,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-xesdwpinj-V4weeqzU,YES
cisco-sa-xesdwpinj-V4weeqzU,Cisco IOS XE SD-WAN Software Parameter Injection Vulnerabilities,CSCvw64834, CVE-2021-1383'  'CVE-2021-1454 ,6.0,Medium, 17.3.3 ,2021-03-24T16:00:00,2021-03-24T16:00:00,Final,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-xesdwpinj-V4weeqzU,YES
cisco-sa-sdwan-clipriv-9TO2QGVp,Cisco IOS XE SD-WAN Software Privilege Escalation Vulnerability,CSCvv65659, CVE-2021-1281 ,5.1,Medium, 17.3.3 ,2021-03-24T16:00:00,2021-03-24T16:00:00,Final,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-sdwan-clipriv-9TO2QGVp,YES
cisco-sa-iosxe-decnet-dos-cuPWDkyL,Cisco IOS XE Software DECnet Phase IV/OSI Denial of Service Vulnerability,CSCvv51476, CVE-2021-1352 ,7.4,High, 17.3.1w ,2021-03-24T16:00:00,2021-03-24T16:00:00,Final,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-iosxe-decnet-dos-cuPWDkyL,YES
cisco-sa-alg-dos-hbBS7SZE,Cisco IOS XE Software DNS NAT Protocol Application Layer Gateway Denial of Service Vulnerability,CSCvv65113, CVE-2021-1446 ,8.6,High, 17.3.1x ,2021-03-24T16:00:00,2021-03-24T16:00:00,Final,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-alg-dos-hbBS7SZE,YES
cisco-sa-iosxe-cswsh-FKk9AzT5,Cisco IOS XE Software Web UI Cross-Site WebSocket Hijacking Vulnerability,CSCvu98441, CVE-2021-1403 ,7.4,High, 17.3.3 ,2021-03-24T16:00:00,2021-03-24T16:00:00,Final,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-iosxe-cswsh-FKk9AzT5,YES
cisco-sa-iox-cmdinj-RkSURGHG,Cisco IOx for IOS XE Software Command Injection Vulnerability,CSCvw64798, CVE-2021-1384 ,6.5,Medium, 17.3.3 ,2021-03-24T16:00:00,2021-03-24T16:00:00,Final,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-iox-cmdinj-RkSURGHG,YES
