Name,Description,ISE ID,Parent Group
SAMPGUserGroup12,Imported Scale User Group 12,b6330790-75da-11eb-976b-427fae7e634f,NAC Group:NAC:IdentityGroups:User Identity Groups
SAMPGUserGroup136,Imported Scale User Group 136,b6ab6be0-75da-11eb-976b-427fae7e634f,NAC Group:NAC:IdentityGroups:User Identity Groups
SAMPGUserGroup102,Imported Scale User Group 102,b5b5e850-75da-11eb-976b-427fae7e634f,NAC Group:NAC:IdentityGroups:User Identity Groups
SAMPGUserGroup113,Imported Scale User Group 113,b6062b30-75da-11eb-976b-427fae7e634f,NAC Group:NAC:IdentityGroups:User Identity Groups
SAMPGUserGroup122,Imported Scale User Group 122,b645f350-75da-11eb-976b-427fae7e634f,NAC Group:NAC:IdentityGroups:User Identity Groups
SAMPGUserGroup151,Imported Scale User Group 151,b715ed80-75da-11eb-976b-427fae7e634f,NAC Group:NAC:IdentityGroups:User Identity Groups
SAMPGUserGroup118,Imported Scale User Group 118,b6260f40-75da-11eb-976b-427fae7e634f,NAC Group:NAC:IdentityGroups:User Identity Groups
SAMPGUserGroup100,Imported Scale User Group 100,b5a45c20-75da-11eb-976b-427fae7e634f,NAC Group:NAC:IdentityGroups:User Identity Groups
SAMPGUserGroup152,Imported Scale User Group 152,b71bb9e0-75da-11eb-976b-427fae7e634f,NAC Group:NAC:IdentityGroups:User Identity Groups
SAMPGUserGroup107,Imported Scale User Group 107,b5d4e200-75da-11eb-976b-427fae7e634f,NAC Group:NAC:IdentityGroups:User Identity Groups
SAMPGUserGroup130,Imported Scale User Group 130,b67f2bc0-75da-11eb-976b-427fae7e634f,NAC Group:NAC:IdentityGroups:User Identity Groups
SAMPGUserGroup172,Imported Scale User Group 172,b79e0940-75da-11eb-976b-427fae7e634f,NAC Group:NAC:IdentityGroups:User Identity Groups
SAMPGUserGroup120,Imported Scale User Group 120,b639be50-75da-11eb-976b-427fae7e634f,NAC Group:NAC:IdentityGroups:User Identity Groups
SAMPGUserGroup139,Imported Scale User Group 139,b6bd9450-75da-11eb-976b-427fae7e634f,NAC Group:NAC:IdentityGroups:User Identity Groups
SAMPGUserGroup157,Imported Scale User Group 157,b73905e0-75da-11eb-976b-427fae7e634f,NAC Group:NAC:IdentityGroups:User Identity Groups
SAMPGUserGroup15,Imported Scale User Group 15,b70858f0-75da-11eb-976b-427fae7e634f,NAC Group:NAC:IdentityGroups:User Identity Groups
SAMPGUserGroup106,Imported Scale User Group 106,b5cec780-75da-11eb-976b-427fae7e634f,NAC Group:NAC:IdentityGroups:User Identity Groups
SAMPGUserGroup170,Imported Scale User Group 170,b791ad30-75da-11eb-976b-427fae7e634f,NAC Group:NAC:IdentityGroups:User Identity Groups
SAMPGUserGroup117,Imported Scale User Group 117,b61fa6a0-75da-11eb-976b-427fae7e634f,NAC Group:NAC:IdentityGroups:User Identity Groups
SAMPGUserGroup109,Imported Scale User Group 109,b5e49970-75da-11eb-976b-427fae7e634f,NAC Group:NAC:IdentityGroups:User Identity Groups
SAMPGUserGroup11,Imported Scale User Group 11,b5ec3a90-75da-11eb-976b-427fae7e634f,NAC Group:NAC:IdentityGroups:User Identity Groups
SAMPGUserGroup114,Imported Scale User Group 114,b60dcc50-75da-11eb-976b-427fae7e634f,NAC Group:NAC:IdentityGroups:User Identity Groups
SAMPGUserGroup177,Imported Scale User Group 177,b7be6280-75da-11eb-976b-427fae7e634f,NAC Group:NAC:IdentityGroups:User Identity Groups
OWN_ACCOUNTS (default),Default OWN_ACCOUNTS (default) User Group,a19d5f00-8c01-11e6-996c-525400b48521,NAC Group:NAC:IdentityGroups:User Identity Groups
SAMPGUserGroup166,Imported Scale User Group 166,b7741310-75da-11eb-976b-427fae7e634f,NAC Group:NAC:IdentityGroups:User Identity Groups
SAMPGUserGroup103,Imported Scale User Group 103,b5bc7800-75da-11eb-976b-427fae7e634f,NAC Group:NAC:IdentityGroups:User Identity Groups
SAMPGUserGroup135,Imported Scale User Group 135,b6a180d0-75da-11eb-976b-427fae7e634f,NAC Group:NAC:IdentityGroups:User Identity Groups
SAMPGUserGroup110,Imported Scale User Group 110,b5f2ca40-75da-11eb-976b-427fae7e634f,NAC Group:NAC:IdentityGroups:User Identity Groups
SAMPGUserGroup17,Imported Scale User Group 17,b78b92b0-75da-11eb-976b-427fae7e634f,NAC Group:NAC:IdentityGroups:User Identity Groups
